"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1960","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",93.397047715008,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1961","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",97.420968283806,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1962","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",104.852749314777,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1963","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",108.015741558424,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1964","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",113.658375312078,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1965","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",117.665370767225,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1966","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",124.791856425784,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1967","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",99.8574044411854,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1968","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",97.7445271190022,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1969","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",122.042417484547,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1970","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",225.773999482196,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1971","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",161.54390139432,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1972","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",210.995479819975,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1973","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",254.387347208655,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1974","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",406.27014210347,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1975","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",441.978595843748,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1976","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",561.550099917249,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1977","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",541.156246046355,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1978","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",532.217433682282,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1979","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",667.98172189236,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1980","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",880.061983734212,"Nominal GDP Per Capita"
"country/NGA","NG","Nigeria","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1981","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2187.88643570187,"Nominal GDP Per Capita"
