Entity,Code,Year,$40 a day,990478-annotations,$30-$40,990492-annotations,$20-$30,990490-annotations,$10-$20,990488-annotations,$6.85-$10,990486-annotations,$3.65-$6.85,990484-annotations,$2.15-$3.65,990482-annotations,$1-$2.15,990480-annotations,$1 a day,990280-annotations,$40 a day,$30-$40,$20-$30,$10-$20,$6.85-$10,$3.65-$6.85,$2.15-$3.65,$1-$2.15,$1 a day
World,OWID_WRL,1990,409796100,,185737216,,273742848,,458929408,,287427584,,672715520,,995638784,,1553755008,,455652992,,409796100,185737216,273742848,458929408,287427584,672715520,995638784,1553755008,455652992
World,OWID_WRL,1991,417397250,,187093504,,265489920,,460298496,,293566976,,706302208,,1036427264,,1568239584,,447721504,,417397250,187093504,265489920,460298496,293566976,706302208,1036427264,1568239584,447721504
World,OWID_WRL,1992,422954000,,187906048,,257495552,,454699264,,305202176,,757492480,,1076449664,,1573768928,,434196384,,422954000,187906048,257495552,454699264,305202176,757492480,1076449664,1573768928,434196384
World,OWID_WRL,1993,425706500,,185640448,,251629056,,445054976,,315361280,,807975168,,1112439680,,1589028672,,423787584,,425706500,185640448,251629056,445054976,315361280,807975168,1112439680,1589028672,423787584
World,OWID_WRL,1994,441723900,,188425728,,253220864,,441289728,,323601152,,864542464,,1196464896,,1545831392,,386945824,,441723900,188425728,253220864,441289728,323601152,864542464,1196464896,1545831392,386945824
World,OWID_WRL,1995,457772540,,192330240,,261382656,,462581248,,338880512,,902018304,,1246641536,,1502904672,,362224672,,457772540,192330240,261382656,462581248,338880512,902018304,1246641536,1502904672,362224672
World,OWID_WRL,1996,469940740,,195318272,,260009984,,461607936,,352359168,,969731328,,1296548352,,1464822912,,341241728,,469940740,195318272,260009984,461607936,352359168,969731328,1296548352,1464822912,341241728
World,OWID_WRL,1997,481475070,,197641216,,265932800,,475449344,,370856704,,992007680,,1293647488,,1469954688,,349090816,,481475070,197641216,265932800,475449344,370856704,992007680,1293647488,1469954688,349090816
World,OWID_WRL,1998,500835840,,197298176,,261813248,,485481472,,379602432,,1002993664,,1286229632,,1499460704,,366011168,,500835840,197298176,261813248,485481472,379602432,1002993664,1286229632,1499460704,366011168
World,OWID_WRL,1999,514837500,,194953728,,255202304,,468355072,,385553152,,1059319040,,1348252928,,1484382112,,351433056,,514837500,194953728,255202304,468355072,385553152,1059319040,1348252928,1484382112,351433056
World,OWID_WRL,2000,536686600,,199182336,,261269504,,490322944,,409010432,,1094469376,,1350606464,,1459171200,,343602688,,536686600,199182336,261269504,490322944,409010432,1094469376,1350606464,1459171200,343602688
World,OWID_WRL,2001,548113400,,204219392,,266353664,,511588352,,433357568,,1130649856,,1365195008,,1439218656,,327652128,,548113400,204219392,266353664,511588352,433357568,1130649856,1365195008,1439218656,327652128
World,OWID_WRL,2002,565490700,,207932416,,273174016,,535058432,,464699136,,1179563008,,1389389824,,1390944288,,301889248,,565490700,207932416,273174016,535058432,464699136,1179563008,1389389824,1390944288,301889248
World,OWID_WRL,2003,579759100,,213696512,,278526976,,548697600,,486359808,,1241703168,,1424307968,,1347610848,,268800544,,579759100,213696512,278526976,548697600,486359808,1241703168,1424307968,1347610848,268800544
World,OWID_WRL,2004,600296960,,219156992,,287800320,,592384000,,521229056,,1286264832,,1450305792,,1284833664,,228652672,,600296960,219156992,287800320,592384000,521229056,1286264832,1450305792,1284833664,228652672
World,OWID_WRL,2005,618356740,,222738944,,298866688,,637627392,,555570432,,1338185216,,1469431040,,1211605824,,200318144,,618356740,222738944,298866688,637627392,555570432,1338185216,1469431040,1211605824,200318144
World,OWID_WRL,2006,639804400,,230342656,,310494720,,684655616,,585245952,,1358508800,,1462750080,,1176350480,,186957680,,639804400,230342656,310494720,684655616,585245952,1358508800,1462750080,1176350480,186957680
World,OWID_WRL,2007,678982140,,230669824,,317217792,,734232064,,615238912,,1389953280,,1459484416,,1121807776,,169981280,,678982140,230669824,317217792,734232064,615238912,1389953280,1459484416,1121807776,169981280
World,OWID_WRL,2008,686257150,,242150912,,337145344,,783234048,,636489472,,1411811584,,1457389696,,1087820960,,159141600,,686257150,242150912,337145344,783234048,636489472,1411811584,1457389696,1087820960,159141600
World,OWID_WRL,2009,700829200,,245703168,,345205248,,825357312,,668465664,,1448581120,,1450170496,,1054496992,,146854048,,700829200,245703168,345205248,825357312,668465664,1448581120,1450170496,1054496992,146854048
World,OWID_WRL,2010,717722600,,255759872,,370153472,,885397504,,704295936,,1497729280,,1444078592,,966566752,,128281504,,717722600,255759872,370153472,885397504,704295936,1497729280,1444078592,966566752,128281504
World,OWID_WRL,2011,720556000,,262536192,,388182528,,953046528,,747928832,,1573373440,,1426091264,,863283936,,119045408,,720556000,262536192,388182528,953046528,747928832,1573373440,1426091264,863283936,119045408
World,OWID_WRL,2012,732200450,,270159872,,409741312,,1018350080,,775006976,,1605025024,,1405871360,,811672128,,113359040,,732200450,270159872,409741312,1018350080,775006976,1605025024,1405871360,811672128,113359040
World,OWID_WRL,2013,743906800,,283201024,,435136000,,1090284544,,818141184,,1646913280,,1377096448,,722832040,,111791960,,743906800,283201024,435136000,1090284544,818141184,1646913280,1377096448,722832040,111791960
World,OWID_WRL,2014,757685250,,290461184,,456620544,,1147172352,,845140736,,1644341248,,1369057920,,693467320,,113093576,,757685250,290461184,456620544,1147172352,845140736,1644341248,1369057920,693467320,113093576
World,OWID_WRL,2015,783694340,,292872704,,468883456,,1205764096,,867900672,,1657136640,,1347597376,,663495040,,116505920,,783694340,292872704,468883456,1205764096,867900672,1657136640,1347597376,663495040,116505920
World,OWID_WRL,2016,815324700,,298338816,,483231744,,1247193088,,888284672,,1665087488,,1326535040,,644711744,,121708352,,815324700,298338816,483231744,1247193088,888284672,1665087488,1326535040,644711744,121708352
